Province,Country,Lat,Long,fixedName
Hawaii,US,21.0943,-157.4983,"Hawaii,US"
Oklahoma,US,35.5653,-96.9289,"Oklahoma,US"
Utah,US,40.15,-111.8624,"Utah,US"
,Burkina Faso,12.2383,-1.5616,"Burkina Faso"
,Holy See,41.9029,12.4534,"Holy See"
,Mongolia,46.8625,103.8467,"Mongolia"
,Panama,8.538,-80.7821,"Panama"
Kansas,US,38.5266,-96.7265,"Kansas,US"
Louisiana,US,31.1695,-91.8678,"Louisiana,US"
Missouri,US,38.4561,-92.2884,"Missouri,US"
Vermont,US,44.0459,-72.7107,"Vermont,US"
Alaska,US,61.3707,-152.4044,"Alaska,US"
Arkansas,US,34.9697,-92.3731,"Arkansas,US"
Delaware,US,39.3185,-75.5071,"Delaware,US"
Idaho,US,44.2405,-114.4788,"Idaho,US"
Maine,US,44.6939,-69.3819,"Maine,US"
Michigan,US,43.3266,-84.5361,"Michigan,US"
Mississippi,US,32.7416,-89.6787,"Mississippi,US"
Montana,US,46.9219,-110.4544,"Montana,US"
New Mexico,US,34.8405,-106.2485,"New Mexico,US"
North Dakota,US,47.5289,-99.784,"North Dakota,US"
South Dakota,US,44.2998,-99.4388,"South Dakota,US"
West Virginia,US,38.4912,-80.9545,"West Virginia,US"
Wyoming,US,42.756,-107.3025,"Wyoming,US"
Hubei,China,30.9756,112.2707,"Hubei,China"
,Iran,32,53,"Iran"
,"Korea, South",36,128,"South Korea"
,France,46.2276,2.2137,"France"
Guangdong,China,23.3417,113.4244,"Guangdong,China"
Henan,China,33.882,113.614,"Henan,China"
Zhejiang,China,29.1832,120.0934,"Zhejiang,China"
Hunan,China,27.6104,111.7088,"Hunan,China"
Anhui,China,31.8257,117.2264,"Anhui,China"
Jiangxi,China,27.614,115.7221,"Jiangxi,China"
Shandong,China,36.3427,118.1498,"Shandong,China"
Jiangsu,China,32.9711,119.455,"Jiangsu,China"
Chongqing,China,30.0572,107.874,"Chongqing,China"
Sichuan,China,30.6171,102.7103,"Sichuan,China"
Heilongjiang,China,47.862,127.7615,"Heilongjiang,China"
Denmark,Denmark,56.2639,9.5018,"Denmark"
Beijing,China,40.1824,116.4142,"Beijing,China"
Shanghai,China,31.202,121.4491,"Shanghai,China"
Hebei,China,39.549,116.1306,"Hebei,China"
Fujian,China,26.0789,117.9874,"Fujian,China"
Guangxi,China,23.8298,108.7881,"Guangxi,China"
Shaanxi,China,35.1917,108.8701,"Shaanxi,China"
Yunnan,China,24.974,101.487,"Yunnan,China"
Hainan,China,19.1959,109.7453,"Hainan,China"
Guizhou,China,26.8154,106.8748,"Guizhou,China"
Tianjin,China,39.3054,117.323,"Tianjin,China"
Shanxi,China,37.5777,112.2922,"Shanxi,China"
Gansu,China,37.8099,101.0583,"Gansu,China"
Hong Kong,China,22.3,114.2,"Hong Kong,China"
Liaoning,China,41.2956,122.6085,"Liaoning,China"
Jilin,China,43.6661,126.1923,"Jilin,China"
,Czechia,49.8175,15.473,"Czechia"
Xinjiang,China,41.1129,85.2401,"Xinjiang,China"
Inner Mongolia,China,44.0935,113.9448,"Inner Mongolia,China"
Ningxia,China,37.2692,106.1655,"Ningxia,China"
,Taiwan*,23.7,121,"Taiwan"
,Vietnam,16,108,"Vietnam"
,Russia,60,90,"Russia"
Qinghai,China,35.7452,95.9956,"Qinghai,China"
Macau,China,22.1667,113.55,"Macau,China"
,Moldova,47.4116,28.3699,"Moldova"
,Bolivia,-16.2902,-63.5887,"Bolivia"
,Honduras,15.2,-86.2419,"Honduras"
New Brunswick,Canada,46.5653,-66.4619,"New Brunswick,Canada"
Tibet,China,31.6927,88.0924,"Tibet,China"
,Congo (Kinshasa),-4.0383,21.7587,"Congo"
,Cote d'Ivoire,7.54,-5.5471,"Cote d'Ivoire"
,Jamaica,18.1096,-77.2975,"Jamaica"
,Reunion,-21.1151,55.5364,"Reunion"
,Turkey,38.9637,35.2433,"Turkey"
,Cuba,22,-80,"Cuba"
,Guyana,5,-58.75,"Guyana"
Australian Capital Territory,Australia,-35.4735,149.0124,"Australian Capital Territory,Australia"
United Kingdom,United Kingdom,55.3781,-3.436,"United Kingdom"
,Kazakhstan,48.0196,66.9237,"Kazakhstan"
,Cayman Islands,19.3133,-81.2546,"Cayman Islands"
,Guadeloupe,16.265,-61.551,"Guadeloupe"
Manitoba,Canada,53.7609,-98.8139,"Manitoba,Canada"
Saskatchewan,Canada,52.9399,-106.4509,"Saskatchewan,Canada"
,Ethiopia,9.145,40.4897,"Ethiopia"
,Sudan,12.8628,30.2176,"Sudan"
,Guinea,9.9456,-9.6966,"Guinea"
,Aruba,12.5211,-69.9683,"Aruba"
,Kenya,-0.0236,37.9062,"Kenya"
,Antigua and Barbuda,17.0608,-61.7964,"Antigua and Barbuda"
Alabama,US,32.3182,-86.9023,"Alabama,US"
,Uruguay,-32.5228,-55.7658,"Uruguay"
,Ghana,7.9465,-1.0232,"Ghana"
Puerto Rico,US,18.2208,-66.5901,"Puerto Rico,US"
,Jersey,49.19,-2.11,"Jersey"
,Namibia,-22.9576,18.4904,"Namibia"
,Seychelles,-4.6796,55.492,"Seychelles"
,Trinidad and Tobago,10.6918,-61.2225,"Trinidad and Tobago"
,Venezuela,6.4238,-66.5897,"Venezuela"
,Curacao,12.1696,-68.99,"Curacao"
,Eswatini,-26.5225,31.4659,"Eswatini"
,Gabon,-0.8037,11.6094,"Gabon"
,Guatemala,15.7835,-90.2308,"Guatemala"
,Guernsey,49.45,-2.58,"Guernsey"
,Mauritania,21.0079,10.9408,"Mauritania"
,Rwanda,-1.9403,29.8739,"Rwanda"
,Saint Lucia,13.9094,-60.9789,"Saint Lucia"
,Saint Vincent and the Grenadines,12.9843,-61.2872,"Saint Vincent and the Grenadines"
,Suriname,3.9193,-56.0278,"Suriname"
"Virgin Islands, U.S.",US,18.3358,-64.8963,"Virgin Islands,US"
,occupied Palestinian territory,31.9522,35.2332,"occupied Palestinian territory"
Guam,US,13.4443,144.7937,"Guam,US"
,Kosovo,42.6026,20.903,"Kosovo"
Newfoundland and Labrador,Canada,53.1355,-57.6604,"Newfoundland and Labrador,Canada"
Prince Edward Island,Canada,46.5107,-63.4168,"Prince Edward Island,Canada"
,Central African Republic,6.6111,20.9394,"Central African Republic"
,Equatorial Guinea,1.5,10,"Equatorial Guinea"
,Uzbekistan,41.3775,64.5853,"Uzbekistan"
,China,40.1824,116.4142,"China"
,Australia,-33.8688,151.2093,"Australia"
,US,38.5266,-96.7265,"US"
,Canada,51.2538,-85.3232,"Canada"
